material_name,tensile_strength_mpa,max_load_kg,unit_cost_usd,biodegradability_score,co2_kg_per_unit,recyclability_percent,moisture_resistance_score,food_safe,shelf_life_months,sustainability_index
PLA Bioplastic,43.36,22.4,5.47,7,1.08,90,9,0,44,55
Bamboo Fiber Board,67.63,42.8,1.26,5,0.89,64,8,0,25,48.16
Molded Pulp Tray,10.01,50.9,1.27,3,3.39,62,9,0,12,24.99
Sugarcane Bagasse Box,34.19,6,4.94,8,1.05,49,7,1,19,43.31
Mushroom Mycelium Foam,21.74,46.3,2.69,3,0.89,54,6,0,42,44.46
Recycled PET Sheet,17.39,59.4,1.41,4,0.41,68,3,1,29,53.21
Corrugated Kraft Board,24.9,46.1,5.6,8,2.04,77,3,1,28,43.05
Honeycomb Paper Panel,37.64,20.4,2.41,3,1.52,35,3,0,8,33.25
Cornstarch Bioplastic,41.74,48.4,4.63,4,1.35,93,9,1,34,52.49
Palm Leaf Packaging,53.11,10.7,4.49,6,2.86,62,9,1,37,30.67
Seaweed Film,43.54,29.6,5.36,4,1.09,72,7,0,15,48.46
Wheat Straw Fiber Box,64.82,55,3.93,4,2.54,60,9,0,47,32.17
Rice Husk Composite,26.36,21.1,4.63,9,2.18,47,8,1,30,33.17
Banana Fiber Paper,80.25,20.8,2.42,8,1.55,94,4,1,35,52.44
Hemp Fiber Packaging,12.19,12.2,1.98,7,2.66,90,8,0,18,41.18
Jute Composite Board,63.64,6.1,5.43,7,1.55,47,7,1,24,37.99
Areca Leaf Plate,43.38,42.3,2.85,6,1.56,69,4,1,17,44.15
Recycled Paperboard,54.7,16.6,5.81,9,1.33,65,5,1,47,46.01
Bagasse Clamshell,21.23,19.6,4.15,8,0.62,58,8,1,42,49.78
BioFoam Starch,25.85,32,3.92,3,3.29,52,5,0,22,22.86
PLA Coated Paper,74.06,7.9,1.13,6,3.22,68,9,1,36,29.32
Water-Soluble Film,87.46,36.6,5.72,3,2.76,71,8,0,26,33.2
Paper Pulp Cushioning,35.07,13.1,2.97,6,2.2,55,7,0,41,34.35
Bamboo Molded Tray,65.39,37.4,3.68,4,0.22,78,8,0,47,57.87
Cellulose Film,80.11,43.5,2.74,5,2.32,80,9,0,23,40.45
Mycelium Insulated Box,81.57,10.6,1.8,8,0.54,92,6,0,8,60.68
Recycled Carton Board,16.8,27.8,5.47,8,1.1,74,9,1,27,50.38
Agro Fiber Panel,13.12,43.2,3.66,7,1.33,84,7,0,35,51.01
Natural Latex Foam,23.59,27.8,0.52,8,1.03,30,7,0,42,37.79
EcoFlex Biopolymer,80.25,7.7,3.89,3,0.35,46,3,0,22,46.79
Recycled Aluminum Thin Sheet,17.87,34.5,2.3,8,0.62,49,6,0,33,47.08
Glassine Paper Wrap,43.69,41.5,3.4,3,0.65,39,5,1,14,42.06
Wood Pulp Molded Box,86.63,33.3,5.37,8,3.29,81,7,0,34,33.31
Compostable Fiber Tray,52.65,57,2.46,6,1.36,40,8,0,8,37.2
Hybrid BioComposite Board,65.35,37.3,5.5,4,0.27,53,6,1,41,49.94
