material_type,strength,weight_capacity_kg,cost_per_unit,biodegradability_score,co2_emission_score,recyclability_percentage,co2_impact_index,cost_efficiency_score
Cardboard,Medium,10,5,8,3,85,7,5
Plastic,High,15,7,2,8,30,2,3
Paper,Low,5,3,9,2,90,8,7
Glass,High,20,10,6,5,70,5,0
Bioplastic,Medium,12,9,9,3,80,7,1
Metal,High,25,12,5,6,75,4,-2
Jute,Medium,8,6,10,1,95,9,4
Wood,Medium,18,11,7,4,65,6,-1
Foil,Low,6,4,3,7,40,3,6
Recycled Paper,Low,7,4,9,2,92,8,6
Bamboo Fiber,Medium,14,8,10,2,88,8,2
Corrugated Box,High,22,9,8,3,86,7,1
Polyethylene,High,18,8,1,9,20,1,2
Sugarcane Bagasse,Medium,13,7,9,2,85,8,3
Aluminum Can,High,30,15,4,6,78,4,-5
Cloth Packaging,Low,6,5,10,1,96,9,5
Molded Pulp,Medium,11,6,9,2,89,8,4
Thermocol,Low,4,3,1,10,5,0,7
PLA Plastic,Medium,10,9,8,3,75,7,1
Hemp Fiber,Medium,16,10,10,2,90,8,0
